areaName,Borough,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021AVG
All Downtown,Manhattan,3150,3200,3250,3300,3400,3500,3625,3756,3995,4100,4199,4300,3562.5
All Midtown,Manhattan,2915,2950,3000,3166,3250,3356,3550,3600,3795,3830,4000,4025,3453
All Upper East Side,Manhattan,2372,2400,2400,2350,2425,2495,2581,2671,2750,2800,2900,3000,2538
All Upper Manhattan,Manhattan,1875,1875,1855,1900,1925,1950,1950,1950,1975,1979,1995,1995,1950
All Upper West Side,Manhattan,2650,2695,2700,2750,2900,2899,2950,3050,3200,3395,3600,3717,2925
Battery Park City,Manhattan,3250,3300,3355,3475,3650,3800,3800,4055,4190,4070,4120,4245,3800
Central Harlem,Manhattan,1990,2000,1995,2000,2075,2120,2150,2195,2200,2195,2100,2150,2110
Central Park South,Manhattan,4998,5995,5995,5950,5900,6000,6000,6000,6000,6948,6700,7175,6000
Chelsea,Manhattan,3420,3573,3745,3670,3800,4250,4235,4295,4600,4800,4867,4846,4242.5
Chinatown,Manhattan,1950,2050,2000,2200,2100,2100,2100,2100,2500,2500,2650,2473,2100
East Harlem,Manhattan,1850,1850,1820,1850,1965,2000,2015,2043,2000,1995,1999,2000,1997
East Village,Manhattan,2400,2450,2500,2538,2665,2799,2850,2800,2850,3075,3050,3163,2799.5
Financial District,Manhattan,3495,3500,3595,3700,3695,3915,4273,4354,4556,4551,4500,4630,4094
Flatiron,Manhattan,4030,4395,4400,4743,4613,4970,5262,5215,5343,5359,5307,5317,5092.5
Gramercy Park,Manhattan,3200,3200,3200,3300,3375,3300,3380,3450,3800,3850,3800,4448,3377.5
Greenwich Village,Manhattan,3300,3450,3300,3307,3450,3750,3650,4000,4000,4198,4000,4598,3700
Hamilton Heights,Manhattan,1900,1900,1900,1900,1900,1950,2000,1975,1998,1985,1975,1975,1962.5
Inwood,Manhattan,1730,1728,1759,1750,1775,1750,1779,1800,1800,1825,1850,1848,1777
Little Italy,Manhattan,2200,2300,2000,2300,2200,2326,2500,2713,2738,2575,2700,2600,2413
Lower East Side,Manhattan,2498,2495,2399,2400,2763,2900,2650,2800,3000,2950,3077,3195,2781.5
Manhattan,Manhattan,2700,2750,2795,2800,2900,2895,2950,3000,3100,3200,3398,3500,2925
Midtown,Manhattan,3098,3200,3300,3350,3500,3700,3700,3890,4150,4400,4373,4290,3700
Midtown East,Manhattan,2795,2895,2950,3050,3196,3250,3450,3500,3640,3600,3810,3890,3350
Midtown South,Manhattan,3385,3575,3650,3850,3985,4150,4450,4466,4600,4716,4690,4795,4300
Midtown West,Manhattan,2913,2895,2995,3050,3108,3295,3580,3500,3740,3800,3995,4052,3397.5
Morningside Heights,Manhattan,2841,2650,2900,3143,3125,2900,2500,2575,2475,3295,3298,3200,2900
Nolita,Manhattan,2595,2500,2525,2600,2852,2900,3323,3425,3545,3595,3500,3450,3111.5
Roosevelt Island,Manhattan,2700,2821,2700,2900,3117,3200,3288,3290,3297,3395,3466,3629,3244
Soho,Manhattan,3000,3000,2795,2900,3000,3498,3800,3500,3638,4100,6098,5500,3499
Stuyvesant Town/PCV,Manhattan,,3485,3448,3521,3520,3452,3550,3576,3703,4157,4319,4285,3550
Tribeca,Manhattan,4300,4400,4373,4425,4595,5000,4925,5545,5348,5604,5650,6408,4962.5
Upper East Side,Manhattan,2372,2400,2400,2350,2425,2495,2581,2671,2750,2800,2900,3000,2538
Upper West Side,Manhattan,2650,2695,2700,2750,2900,2899,2950,3050,3200,3395,3600,3717,2925
Washington Heights,Manhattan,1800,1795,1800,1800,1800,1839,1850,1850,1865,1850,1900,1900,1844.5
West Harlem,Manhattan,1843,1900,1840,1900,1975,1975,1950,1950,1995,1973,2000,2000,1961.5
West Village,Manhattan,3156,3285,3230,3295,3400,3600,3950,3995,4000,4300,4350,4430,3775
