areaName,Borough,areaType,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,,YTD Average,Zip Code,IncomeAVE,YTDAVG
Battery Park City,Manhattan,neighborhood,4100,4150,4425,4450,4730,4725,4870,4635,4330,4283,4153,4160,,4418,,,
Central Harlem,Manhattan,neighborhood,2200,2293,2300,2313,2395,2500,2600,2526,2500,2500,2495,2499,,2427,,,
Central Park South,Manhattan,neighborhood,7175,7175,7450,7450,7450,7000,7998,7995,7723,7723,7223,6595,,7413,,,
Chelsea,Manhattan,neighborhood,4977,4966,5100,5293,5295,5200,5105,5076,5036,5075,4983,5000,,5092,,,
Chinatown,Manhattan,neighborhood,2900,2500,,2895,2775,2850,2795,2849,2800,3000,2550,2600,,2774,,,
East Harlem,Manhattan,neighborhood,2000,2200,2100,2198,2393,2350,2450,2497,2450,2450,2450,2350,,2324,,,
East Village,Manhattan,neighborhood,3200,3300,3300,3470,3400,3400,3475,3400,3450,3425,3399,3398,,3385,,,
Financial District,Manhattan,neighborhood,4823,4821,4629,4765,4797,4690,4677,4760,4650,4684,4642,4565,,4709,,,
Flatiron,Manhattan,neighborhood,5331,5578,5579,5600,5749,5777,5773,5798,5715,5450,5350,5493,,5599,,,
Gramercy Park,Manhattan,neighborhood,4348,4000,4200,4350,4495,4500,4500,4400,4560,4258,4258,4000,,4322,,,
Greenwich Village,Manhattan,neighborhood,4173,4195,4548,3995,4300,4379,4500,4673,4848,4450,4500,4500,,4422,,,
Hamilton Heights,Manhattan,neighborhood,1950,1950,1975,2100,2150,2250,2300,2295,2300,2284,2200,2200,,2163,,,
Inwood,Manhattan,neighborhood,1862,1875,1875,1888,1875,1925,1968,2000,1995,1995,1977,1950,,1932,,,
Little Italy,Manhattan,neighborhood,3075,3200,2750,4000,3243,3473,3200,3448,3495,3495,3598,3423,,3367,,,
Lower East Side,Manhattan,neighborhood,3200,3599,3500,3500,3800,3495,3398,3197,3200,3195,3273,3395,,3396,,,
Manhattan,Manhattan,borough,3700,3800,3838,3950,3932,3895,3900,3863,3950,3900,3900,3950,,3882,,,
Midtown,Manhattan,neighborhood,4625,4688,4560,4500,4500,4420,4500,4499,4500,4438,4450,4295,,4498,,,
Midtown East,Manhattan,neighborhood,3978,4095,4098,4106,4090,4000,4150,4000,4000,3995,3950,3895,,4030,,,
Midtown South,Manhattan,neighborhood,4995,4795,4720,4962,5124,5250,5280,5112,4995,4989,4950,4895,,5006,,,
Midtown West,Manhattan,neighborhood,4195,4193,4299,4320,4471,4493,4420,4173,4195,4100,4100,4195,,4263,,,
Morningside Heights,Manhattan,neighborhood,3198,3298,3298,4236,3248,3195,3000,3200,3125,2995,3890,3865,,3379,,,
Nolita,Manhattan,neighborhood,3795,3975,4173,4145,4250,3998,4123,4095,4295,4295,4195,4295,,4136,,,
Roosevelt Island,Manhattan,neighborhood,3559,3495,3397,3490,3638,3891,3651,3650,3400,3531,3660,3548,,3576,,,
Soho,Manhattan,neighborhood,4500,4148,3995,4350,4550,4148,4675,4600,4800,4350,4300,4500,,4410,,,
Stuyvesant Town/PCV,Manhattan,neighborhood,4458,4406,4590,4784,4834,5112,5187,4765,4501,,4618,4008,,4660,,,
Tribeca,Manhattan,neighborhood,6000,5870,5950,5725,5875,6000,5795,5500,5395,6200,6424,6250,,5915,,,
Upper East Side,Manhattan,neighborhood,3250,3300,3226,3150,3200,3250,3250,3300,3350,3350,3500,3500,,3302,,,
Upper West Side,Manhattan,neighborhood,3811,3840,3895,4000,3995,3902,3997,3900,4000,4100,4000,4000,,3953,,,
Washington Heights,Manhattan,neighborhood,1950,1950,1965,1975,1975,2100,2150,2150,2150,2199,2000,2113,,2056,,,
West Harlem,Manhattan,neighborhood,2040,,,2275,2300,2275,2675,2495,2400,2400,2433,2398,,2369,,,
West Village,Manhattan,neighborhood,4495,4550,4500,4500,4500,4700,4750,4623,4750,4848,4600,4500,,4610,,,
