geoid,name,B19301001,"B19301001, Error"
14000US36061000100,"Census Tract 1, New York, NY",,
14000US36061000201,"Census Tract 2.01, New York, NY",15451,9060
14000US36061000202,"Census Tract 2.02, New York, NY",32807,4985
14000US36061000500,"Census Tract 5, New York, NY",,
14000US36061000600,"Census Tract 6, New York, NY",20384,3307
14000US36061000700,"Census Tract 7, New York, NY",123192,13473
14000US36061000800,"Census Tract 8, New York, NY",26968,5658
14000US36061000900,"Census Tract 9, New York, NY",137740,17613
14000US36061001001,"Census Tract 10.01, New York, NY",67513,10777
14000US36061001002,"Census Tract 10.02, New York, NY",15271,2606
14000US36061001200,"Census Tract 12, New York, NY",60432,11043
14000US36061001300,"Census Tract 13, New York, NY",123558,18770
14000US36061001401,"Census Tract 14.01, New York, NY",73745,12053
14000US36061001402,"Census Tract 14.02, New York, NY",51484,11342
14000US36061001501,"Census Tract 15.01, New York, NY",80703,11910
14000US36061001502,"Census Tract 15.02, New York, NY",105233,13681
14000US36061001600,"Census Tract 16, New York, NY",45396,7201
14000US36061001800,"Census Tract 18, New York, NY",43288,7021
14000US36061002000,"Census Tract 20, New York, NY",21187,9226
14000US36061002100,"Census Tract 21, New York, NY",177315,22796
14000US36061002201,"Census Tract 22.01, New York, NY",27782,5024
14000US36061002202,"Census Tract 22.02, New York, NY",69267,22739
14000US36061002400,"Census Tract 24, New York, NY",11437,2489
14000US36061002500,"Census Tract 25, New York, NY",15267,3347
14000US36061002601,"Census Tract 26.01, New York, NY",29334,5784
14000US36061002602,"Census Tract 26.02, New York, NY",73113,15437
14000US36061002700,"Census Tract 27, New York, NY",52255,10456
14000US36061002800,"Census Tract 28, New York, NY",68130,21190
14000US36061002901,"Census Tract 29.01, New York, NY",2018,972
14000US36061002902,"Census Tract 29.02, New York, NY",28120,6446
14000US36061003001,"Census Tract 30.01, New York, NY",68977,15776
14000US36061003002,"Census Tract 30.02, New York, NY",63435,10953
14000US36061003100,"Census Tract 31, New York, NY",73686,11914
14000US36061003200,"Census Tract 32, New York, NY",76736,9911
14000US36061003300,"Census Tract 33, New York, NY",208525,46107
14000US36061003400,"Census Tract 34, New York, NY",64822,13604
14000US36061003601,"Census Tract 36.01, New York, NY",50357,9962
14000US36061003602,"Census Tract 36.02, New York, NY",80492,13412
14000US36061003700,"Census Tract 37, New York, NY",236017,109381
14000US36061003800,"Census Tract 38, New York, NY",80453,21091
14000US36061003900,"Census Tract 39, New York, NY",216267,109369
14000US36061004001,"Census Tract 40.01, New York, NY",83670,18395
14000US36061004002,"Census Tract 40.02, New York, NY",91332,30356
14000US36061004100,"Census Tract 41, New York, NY",65099,12077
14000US36061004200,"Census Tract 42, New York, NY",67759,12430
14000US36061004300,"Census Tract 43, New York, NY",122135,41454
14000US36061004400,"Census Tract 44, New York, NY",82360,10320
14000US36061004500,"Census Tract 45, New York, NY",100685,28162
14000US36061004700,"Census Tract 47, New York, NY",124764,24848
14000US36061004800,"Census Tract 48, New York, NY",90807,14400
14000US36061004900,"Census Tract 49, New York, NY",150783,36297
14000US36061005000,"Census Tract 50, New York, NY",146617,37961
14000US36061005200,"Census Tract 52, New York, NY",134372,34422
14000US36061005400,"Census Tract 54, New York, NY",152543,29635
14000US36061005501,"Census Tract 55.01, New York, NY",92345,16650
14000US36061005502,"Census Tract 55.02, New York, NY",130337,23062
14000US36061005600,"Census Tract 56, New York, NY",170370,50069
14000US36061005700,"Census Tract 57, New York, NY",145651,28840
14000US36061005800,"Census Tract 58, New York, NY",186190,55555
14000US36061005900,"Census Tract 59, New York, NY",124415,22737
14000US36061006000,"Census Tract 60, New York, NY",124575,19780
14000US36061006100,"Census Tract 61, New York, NY",165209,61052
14000US36061006200,"Census Tract 62, New York, NY",43787,6968
14000US36061006300,"Census Tract 63, New York, NY",145396,21843
14000US36061006400,"Census Tract 64, New York, NY",90225,15393
14000US36061006500,"Census Tract 65, New York, NY",81232,11149
14000US36061006600,"Census Tract 66, New York, NY",90303,22735
14000US36061006700,"Census Tract 67, New York, NY",123706,15318
14000US36061006800,"Census Tract 68, New York, NY",100293,20036
14000US36061006900,"Census Tract 69, New York, NY",168090,30843
14000US36061007001,"Census Tract 70.01, New York, NY",82676,11271
14000US36061007002,"Census Tract 70.02, New York, NY",86262,15104
14000US36061007100,"Census Tract 71, New York, NY",139761,16684
14000US36061007200,"Census Tract 72, New York, NY",129400,23137
14000US36061007300,"Census Tract 73, New York, NY",139793,29269
14000US36061007400,"Census Tract 74, New York, NY",147959,30596
14000US36061007500,"Census Tract 75, New York, NY",125897,26588
14000US36061007600,"Census Tract 76, New York, NY",105331,34518
