name,NTAType,NTAName,NTAAbbrev,geoid,IncomePC,B19301001
309.0,0,Kingsbridge-Marble Hill,Kngbrdg,14000US36061030900,19336.0,19336.0
7.0,0,Financial District-Battery Park City,FiDi,14000US36061000700,123192.0,123192.0
9.0,0,Financial District-Battery Park City,FiDi,14000US36061000900,137740.0,137740.0
13.0,0,Financial District-Battery Park City,FiDi,14000US36061001300,123558.0,123558.0
15.01,0,Financial District-Battery Park City,FiDi,14000US36061001501,80703.0,80703.0
15.02,0,Financial District-Battery Park City,FiDi,14000US36061001502,105233.0,105233.0
317.03,0,Financial District-Battery Park City,FiDi,14000US36061031703,180412.0,180412.0
317.04,0,Financial District-Battery Park City,FiDi,14000US36061031704,140856.0,140856.0
21.0,0,Tribeca-Civic Center,TriBeCa,14000US36061002100,177315.0,177315.0
29.01,0,Tribeca-Civic Center,TriBeCa,14000US36061002901,2018.0,2018.0
31.0,0,Tribeca-Civic Center,TriBeCa,14000US36061003100,73686.0,73686.0
33.0,0,Tribeca-Civic Center,TriBeCa,14000US36061003300,208525.0,208525.0
39.0,0,Tribeca-Civic Center,TriBeCa,14000US36061003900,216267.0,216267.0
37.0,0,SoHo-Little Italy-Hudson Square,SoHo,14000US36061003700,236017.0,236017.0
41.0,0,SoHo-Little Italy-Hudson Square,SoHo,14000US36061004100,65099.0,65099.0
43.0,0,SoHo-Little Italy-Hudson Square,SoHo,14000US36061004300,122135.0,122135.0
45.0,0,SoHo-Little Italy-Hudson Square,SoHo,14000US36061004500,100685.0,100685.0
47.0,0,SoHo-Little Italy-Hudson Square,SoHo,14000US36061004700,124764.0,124764.0
49.0,0,SoHo-Little Italy-Hudson Square,SoHo,14000US36061004900,150783.0,150783.0
55.01,0,Greenwich Village,GrnwchVlg,14000US36061005501,92345.0,92345.0
55.02,0,Greenwich Village,GrnwchVlg,14000US36061005502,130337.0,130337.0
57.0,0,Greenwich Village,GrnwchVlg,14000US36061005700,145651.0,145651.0
59.0,0,Greenwich Village,GrnwchVlg,14000US36061005900,124415.0,124415.0
61.0,0,Greenwich Village,GrnwchVlg,14000US36061006100,165209.0,165209.0
63.0,0,Greenwich Village,GrnwchVlg,14000US36061006300,145396.0,145396.0
65.0,0,Greenwich Village,GrnwchVlg,14000US36061006500,81232.0,81232.0
67.0,0,West Village,WstVlg,14000US36061006700,123706.0,123706.0
