name,NTAType,NTAName,NTAAbbrev
309,0,Kingsbridge-Marble Hill,Kngbrdg
7,0,Financial District-Battery Park City,FiDi
9,0,Financial District-Battery Park City,FiDi
13,0,Financial District-Battery Park City,FiDi
15.01,0,Financial District-Battery Park City,FiDi
15.02,0,Financial District-Battery Park City,FiDi
317.03,0,Financial District-Battery Park City,FiDi
317.04,0,Financial District-Battery Park City,FiDi
21,0,Tribeca-Civic Center,TriBeCa
29.01,0,Tribeca-Civic Center,TriBeCa
31,0,Tribeca-Civic Center,TriBeCa
33,0,Tribeca-Civic Center,TriBeCa
39,0,Tribeca-Civic Center,TriBeCa
1,9,The Battery-Governors Island-Ellis Island-Liberty Island,Btry_GvIsl
5,9,The Battery-Governors Island-Ellis Island-Liberty Island,Btry_GvIsl
319,9,The Battery-Governors Island-Ellis Island-Liberty Island,Btry_GvIsl
37,0,SoHo-Little Italy-Hudson Square,SoHo
41,0,SoHo-Little Italy-Hudson Square,SoHo
43,0,SoHo-Little Italy-Hudson Square,SoHo
45,0,SoHo-Little Italy-Hudson Square,SoHo
47,0,SoHo-Little Italy-Hudson Square,SoHo
49,0,SoHo-Little Italy-Hudson Square,SoHo
55.01,0,Greenwich Village,GrnwchVlg
55.02,0,Greenwich Village,GrnwchVlg
57,0,Greenwich Village,GrnwchVlg
59,0,Greenwich Village,GrnwchVlg
61,0,Greenwich Village,GrnwchVlg
63,0,Greenwich Village,GrnwchVlg
65,0,Greenwich Village,GrnwchVlg
67,0,West Village,WstVlg
69,0,West Village,WstVlg
71,0,West Village,WstVlg
73,0,West Village,WstVlg
75,0,West Village,WstVlg
77,0,West Village,WstVlg
79,0,West Village,WstVlg
2.01,0,Chinatown-Two Bridges,Chntwn
6,0,Chinatown-Two Bridges,Chntwn
8,0,Chinatown-Two Bridges,Chntwn
16,0,Chinatown-Two Bridges,Chntwn
25,0,Chinatown-Two Bridges,Chntwn
27,0,Chinatown-Two Bridges,Chntwn
29.02,0,Chinatown-Two Bridges,Chntwn
2.02,0,Lower East Side,LES
10.01,0,Lower East Side,LES
10.02,0,Lower East Side,LES
12,0,Lower East Side,LES
14.01,0,Lower East Side,LES
14.02,0,Lower East Side,LES
18,0,Lower East Side,LES
22.01,0,Lower East Side,LES
30.01,0,Lower East Side,LES
36.01,0,Lower East Side,LES
20,0,East Village,EstVlg
22.02,0,East Village,EstVlg
24,0,East Village,EstVlg
26.01,0,East Village,EstVlg
26.02,0,East Village,EstVlg
28,0,East Village,EstVlg
30.02,0,East Village,EstVlg
32,0,East Village,EstVlg
34,0,East Village,EstVlg
36.02,0,East Village,EstVlg
38,0,East Village,EstVlg
40.01,0,East Village,EstVlg
40.02,0,East Village,EstVlg
42,0,East Village,EstVlg
81,0,Chelsea-Hudson Yards,Chls_HdsYd
83,0,Chelsea-Hudson Yards,Chls_HdsYd
87,0,Chelsea-Hudson Yards,Chls_HdsYd
89,0,Chelsea-Hudson Yards,Chls_HdsYd
91,0,Chelsea-Hudson Yards,Chls_HdsYd
93,0,Chelsea-Hudson Yards,Chls_HdsYd
97,0,Chelsea-Hudson Yards,Chls_HdsYd
99.01,0,Chelsea-Hudson Yards,Chls_HdsYd
99.02,0,Chelsea-Hudson Yards,Chls_HdsYd
99.03,0,Chelsea-Hudson Yards,Chls_HdsYd
103,0,Chelsea-Hudson Yards,Chls_HdsYd
111,0,Chelsea-Hudson Yards,Chls_HdsYd
117,0,Chelsea-Hudson Yards,Chls_HdsYd
115,0,Hell's Kitchen,HllsKtchn
121.01,0,Hell's Kitchen,HllsKtchn
121.02,0,Hell's Kitchen,HllsKtchn
127,0,Hell's Kitchen,HllsKtchn
129.01,0,Hell's Kitchen,HllsKtchn
129.02,0,Hell's Kitchen,HllsKtchn
133,0,Hell's Kitchen,HllsKtchn
135.01,0,Hell's Kitchen,HllsKtchn
135.02,0,Hell's Kitchen,HllsKtchn
139,0,Hell's Kitchen,HllsKtchn
52,0,Midtown South-Flatiron-Union Square,MdtwnSth
54,0,Midtown South-Flatiron-Union Square,MdtwnSth
56,0,Midtown South-Flatiron-Union Square,MdtwnSth
58,0,Midtown South-Flatiron-Union Square,MdtwnSth
74,0,Midtown South-Flatiron-Union Square,MdtwnSth
76,0,Midtown South-Flatiron-Union Square,MdtwnSth
95,0,Midtown South-Flatiron-Union Square,MdtwnSth
101,0,Midtown South-Flatiron-Union Square,MdtwnSth
82,0,Midtown-Times Square,Mdtwn_TmSq
84,0,Midtown-Times Square,Mdtwn_TmSq
94,0,Midtown-Times Square,Mdtwn_TmSq
96,0,Midtown-Times Square,Mdtwn_TmSq
102,0,Midtown-Times Square,Mdtwn_TmSq
104,0,Midtown-Times Square,Mdtwn_TmSq
109,0,Midtown-Times Square,Mdtwn_TmSq
112.01,0,Midtown-Times Square,Mdtwn_TmSq
112.02,0,Midtown-Times Square,Mdtwn_TmSq
113,0,Midtown-Times Square,Mdtwn_TmSq
119,0,Midtown-Times Square,Mdtwn_TmSq
125,0,Midtown-Times Square,Mdtwn_TmSq
131,0,Midtown-Times Square,Mdtwn_TmSq
137,0,Midtown-Times Square,Mdtwn_TmSq
44,0,Stuyvesant Town-Peter Cooper Village,StyTwn
60,0,Stuyvesant Town-Peter Cooper Village,StyTwn
48,0,Gramercy,Grmrcy
50,0,Gramercy,Grmrcy
64,0,Gramercy,Grmrcy
68,0,Gramercy,Grmrcy
62,0,Murray Hill-Kips Bay,MryHl_KpBy
66,0,Murray Hill-Kips Bay,MryHl_KpBy
70.01,0,Murray Hill-Kips Bay,MryHl_KpBy
70.02,0,Murray Hill-Kips Bay,MryHl_KpBy
72,0,Murray Hill-Kips Bay,MryHl_KpBy
78,0,Murray Hill-Kips Bay,MryHl_KpBy
80,0,Murray Hill-Kips Bay,MryHl_KpBy
86.01,0,Murray Hill-Kips Bay,MryHl_KpBy
88,0,Murray Hill-Kips Bay,MryHl_KpBy
86.03,0,East Midtown-Turtle Bay,EstMdtwn
90,0,East Midtown-Turtle Bay,EstMdtwn
92,0,East Midtown-Turtle Bay,EstMdtwn
98,0,East Midtown-Turtle Bay,EstMdtwn
100,0,East Midtown-Turtle Bay,EstMdtwn
106.01,0,East Midtown-Turtle Bay,EstMdtwn
108.01,0,East Midtown-Turtle Bay,EstMdtwn
108.02,0,East Midtown-Turtle Bay,EstMdtwn
108.03,0,East Midtown-Turtle Bay,EstMdtwn
112.03,0,East Midtown-Turtle Bay,EstMdtwn
86.02,6,United Nations,UN
145,0,Upper West Side-Lincoln Square,UWS_LclnSq
147,0,Upper West Side-Lincoln Square,UWS_LclnSq
149,0,Upper West Side-Lincoln Square,UWS_LclnSq
151.01,0,Upper West Side-Lincoln Square,UWS_LclnSq
151.02,0,Upper West Side-Lincoln Square,UWS_LclnSq
153.01,0,Upper West Side-Lincoln Square,UWS_LclnSq
153.02,0,Upper West Side-Lincoln Square,UWS_LclnSq
155.01,0,Upper West Side-Lincoln Square,UWS_LclnSq
155.02,0,Upper West Side-Lincoln Square,UWS_LclnSq
157,0,Upper West Side-Lincoln Square,UWS_LclnSq
159,0,Upper West Side-Lincoln Square,UWS_LclnSq
161,0,Upper West Side (Central),UWS_C
163,0,Upper West Side (Central),UWS_C
165,0,Upper West Side (Central),UWS_C
167,0,Upper West Side (Central),UWS_C
169,0,Upper West Side (Central),UWS_C
171,0,Upper West Side (Central),UWS_C
173,0,Upper West Side (Central),UWS_C
175,0,Upper West Side (Central),UWS_C
177,0,Upper West Side (Central),UWS_C
179,0,Upper West Side (Central),UWS_C
181,0,Upper West Side (Central),UWS_C
183,0,Upper West Side (Central),UWS_C
185,0,Upper West Side-Manhattan Valley,UWS_MnVly
187,0,Upper West Side-Manhattan Valley,UWS_MnVly
189,0,Upper West Side-Manhattan Valley,UWS_MnVly
191,0,Upper West Side-Manhattan Valley,UWS_MnVly
193,0,Upper West Side-Manhattan Valley,UWS_MnVly
195,0,Upper West Side-Manhattan Valley,UWS_MnVly
106.02,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
110,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
116,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
118,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
124,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
126.01,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
126.02,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
132.01,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
132.02,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
132.03,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
134,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
238.02,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
238.03,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
238.04,0,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl
114.01,0,Upper East Side-Carnegie Hill,UES_CrngHl
